ID,Job Title,fname,sname,department,mobile,country,city
80,Executive Director,Gladys,Butler,Finance,4-408-634-7047,Canada,New Orleans
81,Insurance Broker,Shannon,Connell,Marketing,0-330-130-7840,Barbados,Moreno Valley
82,Auditor,Oliver,Thompson,IT,8-841-204-3244,Micronesia,San Bernardino
83,Assistant Buyer,Mason,Gray,Marketing,8-208-168-4121,Sweden,Worcester
84,Budget Analyst,Mike,West,Finance,8-638-577-5616,"Korea, South",Tokyo
85,Cash Manager,Tom,Cattell,IT,6-725-517-3466,Bulgaria,Minneapolis
86,Stockbroker,Joseph,Callan,Purchasing,2-341-235-2217,Uganda,Quebec
87,Restaurant Manager,Erick,Uddin,Human Resources,3-354-411-1637,Saint Lucia,Rome
88,Design Engineer,Moira,Hancock,Research and Development,4-436-338-8443,Luxembourg,Henderson
89,HR Specialist,Rowan,Simmons,Management,4-612-050-6360,Iran,Jacksonville
90,Audiologist,Tess,Jones,Accounting,5-885-486-6448,Nepal,Seattle
91,Treasurer,Morgan,Stone ,Accounting,4-373-805-8370,Somalia,Honolulu
92,Loan Officer,Domenic,Andersson,Accounting,6-063-540-0885,Morocco,Cincinnati
93,Inspector,Daniel,Plumb,Operations,0-683-601-6656,Vietnam,Valetta
94,Electrician,Lucy,Fowler,Operations,0-876-280-0663,Algeria,Wien
95,Doctor,Paula,Walter,Operations,0-885-677-2051,Indonesia,Toledo
96,Stockbroker,Eduardo,Jarrett,Accounting,7-768-283-7560,Chad,Laredo
97,Associate Professor,Andrea,Briggs,Research and Development,0-218-323-7056,Netherlands,Bellevue
98,Fabricator,Christine,Russell,Finance,6-605-611-7687,Mauritania,Long Beach
99,Business Broker,Norah,Appleton,Sales,4-343-022-5235,Sweden,Richmond
100,Bookkeeper,Gemma,Hunt,Purchasing,2-200-153-4866,Brunei,Oakland
101,Cashier,Cadence,Clark,Operations,5-546-836-4757,Palau,Seattle
102,Service Supervisor,Alexander,Oswald,Operations,6-261-714-5858,Honduras,Memphis
103,Production Painter,Elijah,Dobson,Management,3-273-430-5452,Uganda,Portland
104,Banker,Scarlett,Weatcroft,Human Resources,2-640-107-7253,Cabo Verde,Lakewood
105,Fabricator,Aiden,West,Sales,1-276-535-2703,Somalia,Reno
106,CNC Operator,Daron,Todd,Accounting,3-228-426-5351,Switzerland,Minneapolis
107,IT Support Staff,Matthew,Whittle,Operations,4-538-638-3747,Kyrgyzstan,Philadelphia
108,CNC Operator,Kurt,Reynolds,Management,6-601-026-3037,Lithuania,Innsbruck
109,Associate Professor,Aiden,Newman,Purchasing,4-582-466-8141,Andorra,Long Beach
110,CNC Operator,Sara,Nicolas,Human Resources,3-335-458-1451,The Bahamas,Venice
111,Ambulatory Nurse,Jack,Boden,Management,0-183-186-5263,Togo,Jersey City
112,Designer,Harvey,Allen,Human Resources,3-080-100-4322,Samoa,Prague
113,Global Logistics Supervisor,Iris,Andersson,Purchasing,7-235-027-4214,Sweden,Los Angeles
114,Loan Officer,Wendy,Andrews,Management,3-808-766-3745,Uruguay,Berlin
115,Dentist,Daron,West,Sales,5-260-477-5563,Tuvalu,Baltimore
116,Systems Administrator,Lucas,Quinton,Accounting,1-046-126-2834,Armenia,Dallas
117,Business Broker,John,Aldridge,IT,2-701-210-2081,Ukraine,Rochester
118,Investment  Advisor,Daniel,Victor,Purchasing,0-400-744-3284,United Kingdom,Stockton
119,Executive Director,Emely,Leigh,Purchasing,2-774-312-5364,Zimbabwe,Orlando
120,Restaurant Manager,Barney,Samuel,IT,5-435-702-5087,Solomon Islands,San Francisco
121,Service Supervisor,Gabriel,Wren,Management,5-527-336-8165,Ecuador,Boston
122,Cook,Bart,Raven,Marketing,3-375-832-3080,Philippines,Albuquerque
123,HR Specialist,Logan,Gordon,Operations,7-105-562-6175,Vatican City,Berna
124,Staffing Consultant,Isabel,Jeffery,Human Resources,7-610-324-6283,The Bahamas,Houston
125,Systems Administrator,Isla,Savage,Finance,5-764-865-5055,South Africa,Boston
126,Laboratory Technician,Peyton,Grey,Human Resources,3-485-827-8140,Namibia,Sacramento
127,Ambulatory Nurse,Carter,Stanley,Finance,7-705-426-7002,San Marino,Nashville
128,Chef Manager,Karla,Brooks,Finance,3-547-471-4730,Nigeria,Irving
129,Call Center Representative,Bryon,Jones,Finance,6-811-772-4675,Brunei,Madison
130,Executive Director,Agnes,Coates,Marketing,0-207-068-5534,Gabon,New York
131,Inspector,Sofia,Franks,Purchasing,6-572-378-5728,Suriname,Salem
132,Ambulatory Nurse,George,Forth,Human Resources,1-522-423-6777,Laos,Huntsville
133,Front Desk Coordinator,Davina,Murphy,Accounting,8-631-123-8320,Guatemala,Stockton
134,Executive Director,Alexander,Ross,Purchasing,7-133-440-0881,Uruguay,Seattle
135,Auditor,Mona,Whatson,Sales,1-838-218-3568,Guinea,San Antonio
136,HR Specialist,Aiden,Whitmore,Purchasing,0-412-012-1384,Micronesia,Oakland
137,Steward,Angelica,Carson,Sales,1-584-887-0811,Saint Kitts and Nevis,Salt Lake City
138,Assistant Buyer,Erick,Mcgee,IT,3-070-682-3273,Mali,Fremont
139,Project Manager,Rosa,Umney,Sales,5-143-210-1823,Côte d’Ivoire,Nashville
140,Biologist,Johnathan,Yang,Purchasing,6-366-060-3121,Djibouti,Seattle
141,Stockbroker,Barney,Cork,Accounting,2-187-775-7481,Libya,Kansas City
142,HR Coordinator,Janice,Wood,Human Resources,0-434-807-7150,The Bahamas,Cincinnati
143,Healthcare Specialist,Denny,Williams,Accounting,2-750-746-8580,Lesotho,Jacksonville
144,Food Technologist,Courtney,Andrews,Human Resources,8-211-061-5273,Ukraine,Berna
145,Executive Director,Mary,Richards,Sales,1-186-430-6435,Macedonia,Jacksonville
146,Front Desk Coordinator,Quinn,Niles,Accounting,3-213-346-3012,Trinidad and Tobago,Otawa
147,Retail Trainee,Morgan,Fisher,Operations,5-470-343-5455,Kuwait,Columbus
148,Investment  Advisor,Nicholas,Gray,Human Resources,2-652-242-6260,Slovenia,Memphis
149,Budget Analyst,Kurt,Tindall,Human Resources,3-067-778-0346,Venezuela,Salt Lake City
150,Dentist,Josh,Yarlett,Finance,3-285-207-3123,Algeria,Rochester
151,Fabricator,Josh,Mills,IT,4-485-180-4613,Sweden,Murfreesboro
152,Web Developer,Barry,Buckley,Research and Development,5-088-365-5815,Dominica,Denver
153,Software Engineer,Harry,Bright,Marketing,2-138-047-3350,Saint Kitts and Nevis,El Paso
154,Loan Officer,Audrey,Healy,Management,6-072-016-3853,Sierra Leone,Zurich
155,Steward,Kirsten,Wren,Marketing,8-551-500-4304,Finland,Richmond
156,IT Support Staff,Daniel,Pearson,IT,7-285-418-3505,Denmark,Washington
157,Physician,Chuck,Hunt,Human Resources,1-106-761-1562,Syria,Philadelphia
158,Audiologist,Anabel,Greenwood,Marketing,4-345-608-4402,Djibouti,Houston
159,Restaurant Manager,Brad,Stone,Operations,8-847-473-6462,Micronesia,Oakland
160,Assistant Buyer,Daniel,Lloyd,Management,5-410-226-7073,Palau,Otawa
161,Associate Professor,Michael,Redfern,Marketing,2-050-822-6373,Chad,Bellevue
162,Banker,Keira,Rigg,IT,4-567-838-8565,Fiji,Omaha
163,Cook,Nathan,Waterhouse,Finance,2-617-384-2286,Tajikistan,Atlanta
164,Staffing Consultant,Julian,Dobson,IT,2-365-124-6563,Ethiopia,Laredo
165,Doctor,Phillip,Umney,IT,7-151-554-2417,Egypt,Nashville
166,Systems Administrator,Barry,Mackenzie,Marketing,3-135-061-0315,Marshall Islands,Detroit
167,Healthcare Specialist,Carina,West,Human Resources,4-672-251-6531,Panama,Bridgeport
168,Web Developer,Erick,Emerson,Operations,8-644-013-7754,Israel,Madrid
169,Design Engineer,Bryon,Ripley,Marketing,8-142-842-0468,Slovenia,Fremont
170,Steward,Jayden,Dann,Purchasing,6-353-330-5125,Libya,Escondido
171,Project Manager,Parker,Townend,Finance,2-021-453-4422,Tonga,Escondido
172,Assistant Buyer,Ryan,Beal,Research and Development,6-474-671-6115,Paraguay,Henderson
173,Health Educator,Hayden,Brooks,Sales,7-262-881-6177,United Arab Emirates,Salem
174,Accountant,Anabel,Collingwood,Research and Development,3-420-323-6532,"Congo, Republic of the",Scottsdale
175,Biologist,Alexander,Emmott,Human Resources,5-756-658-3787,Iraq,Fremont
176,Web Developer,Ramon,Edwards,Finance,6-302-435-7846,Colombia,Tokyo
177,Business Broker,Fred,Sanchez,Purchasing,1-582-652-5488,The Gambia,Philadelphia
178,Dentist,Celia,Addley,Human Resources,7-140-770-1070,Brazil,Worcester
179,Cash Manager,Gil,Hamilton,Management,6-076-603-5702,Equatorial Guinea,Washington
180,Electrician,Barry,Evans,Research and Development,0-278-057-2786,Lebanon,Bucharest
181,Auditor,Nate,Oatway,Operations,5-001-487-6471,Bhutan,Tulsa
182,Cashier,Darlene,Kennedy,Operations,3-630-481-5874,Liechtenstein,Zurich
183,Steward,Percy,Terry,Operations,6-428-247-5828,Myanmar,San Francisco
184,HR Specialist,Jacqueline,Adler,Accounting,4-018-441-3313,Seychelles,Jersey City
185,Physician,Gemma,Rehman,Accounting,5-115-356-1255,Papua New Guinea,Detroit
186,Banker,Naomi,Moore,Finance,4-281-583-3557,Russia,Philadelphia
187,Systems Administrator,Molly,Robinson,Operations,7-043-728-5744,Myanmar,Chicago
188,IT Support Staff,Louise,Stevenson,Sales,2-017-178-8638,Niger,Toledo
189,Web Developer,David,Eaton,Accounting,5-600-463-8003,Vatican City,Atlanta
190,Treasurer,Claire,Watt,Marketing,6-515-407-8770,Iraq,Washington
191,Global Logistics Supervisor,Hayden,Bullock,Human Resources,6-637-717-4527,Canada,St. Louis
192,Investment  Advisor,Alice,Dillon,Management,8-151-067-3561,France,Milano
193,Cashier,Valentina,Heaton,Finance,3-743-077-0640,Libya,Portland
194,Production Painter,Denis,Eddison,Operations,1-504-324-6708,Tajikistan,Stockton
195,Insurance Broker,Hayden,Hancock,Purchasing,8-727-022-7577,Iran,Hayward
196,Assistant Buyer,Javier,Simmons,Sales,4-858-616-8558,United Kingdom,Amarillo
197,Service Supervisor,Owen,Bennett,Accounting,6-026-674-6103,Italy,Long Beach
198,Paramedic,John,Vincent,Purchasing,0-254-846-3455,Lithuania,Lakewood
199,Cashier,Chuck,Webster,Purchasing,8-701-251-3528,Sri Lanka,Milwaukee
200,Retail Trainee,Norah,Gordon,Management,8-755-312-8622,Fiji,Memphis
201,Production Painter,Bethany,Woodcock,Research and Development,7-654-021-6245,Vatican City,Richmond
202,Health Educator,Bryon,Redwood,Accounting,3-557-252-8338,Pakistan,Stockton
203,Doctor,Bryon,Gates,Sales,8-843-806-5447,Namibia,Otawa
204,Treasurer,Gwen,White,Research and Development,8-513-557-1318,Yemen,Lisbon
205,Executive Director,Martha,Tate,IT,0-448-160-4062,Chile,Bellevue
206,Electrician,Sasha,Trent,Research and Development,3-326-147-7243,Bosnia and Herzegovina,Long Beach
207,Staffing Consultant,Mike,Wilde,Research and Development,8-681-748-4024,Mauritius,Bakersfield
208,Healthcare Specialist,John,Burge,Marketing,8-786-171-5363,Kenya,Valetta
209,Inspector,Cadence,Patel,IT,5-572-112-3411,Central African Republic,Portland
210,Laboratory Technician,Logan,Williams,IT,1-787-536-4656,Solomon Islands,Worcester
211,Software Engineer,Benjamin,Paterson,Human Resources,7-656-256-8355,Romania,Jersey City
212,Treasurer,Logan,Ring,Operations,7-011-735-5885,Iran,Rome
213,HR Coordinator,Jayden,Abbot,Management,8-721-717-1241,Moldova,Phoenix
214,HR Specialist,Kurt,Stark,Accounting,1-020-135-0383,Brunei,Quebec
215,Pharmacist,Alex,Asher,Operations,3-083-858-3511,Luxembourg,Los Angeles
216,Executive Director,Jenna,Parr,Operations,3-745-132-3410,Turkmenistan,Bakersfield
217,Web Developer,Martin,Irwin,IT,0-242-541-3468,Uzbekistan,Amarillo
218,HR Coordinator,Julius,Ward,Operations,8-255-833-8244,El Salvador,Venice
219,Healthcare Specialist,Harry,Owen,Sales,1-732-156-2654,Cabo Verde,Louisville
220,Designer,Sebastian,Gibson,Human Resources,0-171-328-5346,Bolivia,Henderson
221,Food Technologist,Johnathan,Hilton,Operations,2-657-327-8683,Germany,Colorado Springs
222,Global Logistics Supervisor,Fiona,Zaoui,IT,5-743-561-8551,Vanuatu,Chicago
223,Budget Analyst,Daniel,Griffiths,Research and Development,2-678-263-5258,Vietnam,Berna
224,Global Logistics Supervisor,Nate,Tutton,Management,1-504-866-6323,Estonia,Springfield
225,Global Logistics Supervisor,Makena,Amstead,Operations,6-301-720-1818,Liberia,Stockton
226,Web Developer,Chadwick,Newton,Accounting,3-381-273-8683,San Marino,Columbus
227,Dentist,Matt,Wilson,Research and Development,1-338-205-7226,Guinea,Madison
228,Operator,Domenic,Rust,Operations,3-456-203-6822,Namibia,Seattle
229,Insurance Broker,Tyler,Moore,Research and Development,4-033-384-6726,Eritrea,Glendale
230,Accountant,Esmeralda,Rogers,Management,1-820-136-2881,Sweden,Stockton
231,Healthcare Specialist,Adela,Fields,IT,1-050-837-5206,Monaco,Laredo
232,Operator,Anabelle,Lynch,Sales,7-356-038-3667,Vanuatu,Albuquerque
233,Loan Officer,Kendra,Neal,Finance,2-143-383-8370,Congo,Garland
234,Executive Director,Domenic,Rowan,Sales,8-155-616-0105,Côte d’Ivoire,Portland
235,Banker,Harry,King,IT,3-442-665-7146,Switzerland,Fayetteville
236,Machine Operator,Carter,Dann,Finance,2-486-318-6142,Antigua and Barbuda,Phoenix
237,Healthcare Specialist,Johnny,Chapman,Accounting,4-230-756-0806,Ukraine,Honolulu
238,Production Painter,Carmella,Wren,Operations,8-825-441-3636,Marshall Islands,Baltimore
239,HR Coordinator,Alan,Collins,IT,8-481-540-1726,Belgium,Atlanta
240,Retail Trainee,Monica,Pratt,Operations,7-861-611-0508,Libya,Dallas
241,Retail Trainee,Cynthia,Patel,Marketing,3-341-352-4617,China,Laredo
242,Biologist,Matt,Lee,Finance,3-237-103-1320,Cyprus,Venice
243,Webmaster,Elly,Ward,Research and Development,3-433-688-3535,"Korea, South",Santa Ana
244,Front Desk Coordinator,Rocco,Poole,Research and Development,2-221-083-2877,Jamaica,Sacramento
245,Software Engineer,John,Knight,Finance,4-523-455-6857,Cameroon,Pittsburgh
246,Audiologist,Macy,Roman,IT,5-258-171-0081,Somalia,Lyon
247,Physician,Jackeline,Larsen,Marketing,4-756-412-4522,Kyrgyzstan,Fort Lauderdale
248,Call Center Representative,Estrella,Jarrett,Finance,8-271-336-3672,Armenia,Houston
249,Ambulatory Nurse,Eileen,Anderson,Finance,7-112-444-8577,Senegal,Amarillo
250,Ambulatory Nurse,Michael,Purvis,Management,8-138-362-8186,Ukraine,Chicago
251,Laboratory Technician,Shelby,Boyle,Sales,5-472-264-7777,Sweden,Portland
252,Business Broker,Tyson,Hooper,Research and Development,8-438-225-6010,Poland,Santa Ana
253,Cashier,Matthew,Power,Sales,0-637-048-3026,France,Berna
254,Loan Officer,Bridget,Graves,Accounting,7-312-425-4106,Eritrea,Rochester
255,Audiologist,Ronald,Parker,Accounting,0-704-428-8154,Saint Vincent and the Grenadines,Omaha
256,Production Painter,Kassandra,Chappell,Research and Development,4-547-384-2874,Montenegro,Bridgeport
257,Web Developer,Celia,Ainsworth,Human Resources,8-211-236-0254,Algeria,Hollywood
258,HR Coordinator,Jolene,Ashwell,Human Resources,5-585-253-3547,Romania,Salem
259,Design Engineer,Goldie,Smith,Human Resources,5-127-603-8180,Philippines,Washington
260,Audiologist,Madelyn,Holt,Management,5-656-768-7702,Central African Republic,Orlando
261,Mobile Developer,Alan,Bowen,Marketing,4-844-506-2721,Haiti,Cincinnati
262,Banker,Johnathan,Reyes,Sales,4-742-888-0752,Netherlands,Louisville
263,Steward,Melania,Stewart,Sales,7-057-403-6301,Vatican City,Orlando
264,CNC Operator,Regina,Thornton,Human Resources,7-485-463-4736,Turkmenistan,Milano
265,Restaurant Manager,Lucy,Jeffery,Human Resources,7-071-557-7630,Nigeria,Madison
266,Accountant,Zara,Hogg,Sales,1-321-265-5570,El Salvador,Albuquerque
267,Design Engineer,Barney,Chadwick,Accounting,1-270-663-3222,Myanmar,San Bernardino
268,Cashier,Louise,Lucas,Management,0-432-406-7744,Greece,Richmond
269,Clerk,Maxwell,Chadwick,Operations,5-357-703-2167,Uzbekistan,Fayetteville
270,Staffing Consultant,Mark,Lloyd,IT,2-511-281-7507,Finland,Albuquerque
271,Staffing Consultant,Kamila,Allen,Marketing,4-148-822-8060,Venezuela,Miami
272,Bookkeeper,Penny,Stark,Research and Development,3-343-028-4588,Suriname,Lisbon
273,Healthcare Specialist,Angelique,Rodwell,Purchasing,6-238-112-1714,Saudi Arabia,San Jose
274,Bellman,Deborah,Isaac,Purchasing,6-384-432-3501,Sierra Leone,Bucharest
275,Mobile Developer,Henry,Murray,Human Resources,7-211-211-4313,Cambodia,Tallahassee
276,Webmaster,Clint,Cadman,Human Resources,4-280-550-0377,Monaco,Lyon
277,Chef Manager,Javier,Gallacher,Marketing,7-427-001-8433,Lebanon,Arlington
278,Laboratory Technician,Ronald,Abbot,Purchasing,1-260-073-2437,Moldova,Reno
279,Cook,Catherine,Walsh,Management,3-417-002-6404,"Sudan, South",Amarillo
280,Cash Manager,Barry,Addis,Marketing,0-658-445-3077,Cambodia,Lyon
281,Bellman,Fred,Kent,IT,2-123-356-8552,Belize,Oakland
282,Front Desk Coordinator,Russel,Ulyatt,Management,4-885-402-3737,Trinidad and Tobago,Norfolk
283,Budget Analyst,Marie,Allington,IT,6-517-088-3738,Cyprus,Louisville
284,Auditor,Logan,Salt,Operations,0-718-051-8451,Gabon,Rome
285,Retail Trainee,Mason,May,Sales,4-300-156-3732,Indonesia,Glendale
286,Service Supervisor,Emely,Gilbert,Finance,6-508-842-6626,Finland,Glendale
287,Chef Manager,Mona,Johnson,Sales,4-714-511-8854,Angola,Bellevue
288,Electrician,Vera,Quinton,Sales,6-486-243-8507,United Arab Emirates,Atlanta
289,Baker,Joyce,Olivier,Purchasing,4-037-087-7458,The Gambia,Salem
290,Service Supervisor,Selena,Warren,Human Resources,0-236-481-3048,Palau,Lyon
291,Cash Manager,Abbey,Redden,IT,8-650-867-4832,Thailand,Innsbruck
292,IT Support Staff,Denny,Powell,Human Resources,2-802-304-8640,Dominica,El Paso
293,Web Developer,Louise,Walker,Management,1-044-255-8478,Solomon Islands,Cincinnati
294,Accountant,Kieth,Crawford,Management,2-451-022-7705,The Gambia,Las Vegas
295,Cash Manager,Maia,Adams,Accounting,6-034-382-4403,Zambia,Dallas
296,Staffing Consultant,Liam,Zaoui,Human Resources,1-172-635-0744,Afghanistan,Jersey City
297,Clerk,Selena,Morrison,Research and Development,7-853-551-7112,Seychelles,Paris
298,Bellman,Carl,Wright,Accounting,1-856-343-7814,"Congo, Republic of the",Wien
299,HR Coordinator,Marla,Sawyer,Research and Development,7-545-341-2860,Russia,Madison
300,Bellman,Paige,Davies,Management,0-332-553-6004,Slovenia,Valetta
301,Call Center Representative,Marvin,Amstead,IT,7-743-347-2340,Tunisia,Chicago
302,Cashier,Belinda,Hale,Operations,5-280-824-6853,Croatia,Nashville
303,Mobile Developer,Elisabeth,Allen,Marketing,8-584-821-3156,Colombia,Scottsdale
304,Assistant Buyer,Rosalee,Addis,IT,4-740-647-3804,Netherlands,Tallahassee
305,Doctor,Johnny,Butler,Management,8-606-676-7433,Burkina Faso,Valetta
306,Accountant,Matt,Woods,Finance,1-210-082-5775,Tonga,New York
307,Treasurer,Anne,Pope,Research and Development,7-707-221-4645,Australia,Oklahoma City
308,HR Specialist,Andie,Hamilton,Purchasing,2-766-178-1248,Belgium,Bucharest
309,Lecturer,Martha,Moss,Accounting,1-808-534-5320,Kazakhstan,Louisville
310,Design Engineer,Cassidy,Abbot,Operations,0-680-586-2763,Sao Tome and Principe,Reno
311,Audiologist,Melanie,Gregory,Purchasing,0-642-164-8586,South Africa,Stockton
312,Production Painter,Rufus,Mitchell,Human Resources,3-402-665-0560,Kazakhstan,Prague
313,Stockbroker,Mackenzie,Gordon,Management,2-883-108-0565,Malaysia,Milano
314,HR Specialist,Dasha,Lewis,Purchasing,6-387-140-4375,Ethiopia,Minneapolis
315,Operator,Freya,Norburn,Research and Development,8-140-200-0317,Vietnam,Milano
316,Cashier,Percy,Rose,Finance,4-048-771-3123,Burkina Faso,Valetta
317,Bellman,Carl,Sheldon,Research and Development,8-327-672-2473,Argentina,Prague
318,Baker,Denny,Porter,Purchasing,8-032-517-5381,Sierra Leone,New York
319,Call Center Representative,Bryon,Clifton,Operations,0-622-538-7137,Fiji,Seattle
320,Inspector,Bart,Huggins,Accounting,4-224-137-0452,Finland,Amarillo
321,HR Coordinator,Nicholas,Rossi,Finance,6-254-446-8507,Montenegro,Prague
322,Laboratory Technician,Sofie,Hastings,Accounting,0-733-117-6013,Sweden,Reno
323,Fabricator,Maxwell,Selby,Accounting,0-074-543-0767,Micronesia,Columbus
324,Mobile Developer,Skylar,Hobbs,Human Resources,5-507-633-3082,Philippines,Wien
